Acacourse_id,Course_id,Academy_id,Course_name,photobook,Study_type,Catalog_type,Study_level,Language_id,Member_id,totstudent,Detail_course,price,Price_new,status,namepartsup,linkweb,Sourceqr,Locaton,Provice_id,total_hours,credit_value,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
AC-0001,CRS-0001,ACA-0001,Python for Data Science,cover_CRS-0001.jpg,Hybrid,Soft Skill,Advanced,1,,1230,รายละเอียดหลักสูตร Python for Data Science,1990,0,active,ประเดิม บุญศล,https://academy.l2e.io/course/CRS-0001,https://qr.l2e.io/CRS-0001,เชียงใหม่,34,50,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0002,CRS-0002,ACA-0003,Machine Learning Bootcamp,cover_CRS-0002.jpg,Online,Soft Skill,Intermediate,1,MEM-COMP-202600001-1,2789,รายละเอียดหลักสูตร Machine Learning Bootcamp,5990,4990,inactive,คมกฤชญ์ ธุวะนุติ์,https://academy.l2e.io/course/CRS-0002,https://qr.l2e.io/CRS-0002,เชียงใหม่,49,65,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0003,CRS-0003,ACA-0002,Docker & Kubernetes Essential,cover_CRS-0003.jpg,Hybrid,Soft Skill,Advanced,2,MEM-COMP-202600001-1,519,รายละเอียดหลักสูตร Docker & Kubernetes Essential,0,799,draft,เนตรฤดี ธนรักษ์,https://academy.l2e.io/course/CRS-0003,https://qr.l2e.io/CRS-0003,Online,6,9,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0004,CRS-0004,ACA-0005,Cloud Architecture with AWS,cover_CRS-0004.jpg,Onsite,Business,Beginner,2,MEM-COMP-202600001-1,228,รายละเอียดหลักสูตร Cloud Architecture with AWS,5990,799,draft,จิณภัทตา ดาบเพ็ชร์,https://academy.l2e.io/course/CRS-0004,https://qr.l2e.io/CRS-0004,Online,26,61,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0005,CRS-0005,ACA-0002,React Front-End Developer,cover_CRS-0005.jpg,Hybrid,Soft Skill,Advanced,1,MEM-COMP-202600001-1,3067,รายละเอียดหลักสูตร React Front-End Developer,5990,2990,draft,ทองสิริ พานเกล้า,https://academy.l2e.io/course/CRS-0005,https://qr.l2e.io/CRS-0005,เชียงใหม่,44,40,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0006,CRS-0006,ACA-0005,Node.js Backend Development,cover_CRS-0006.jpg,Onsite,Soft Skill,Advanced,2,MEM-COMP-202600001-1,3247,รายละเอียดหลักสูตร Node.js Backend Development,5990,799,active,อดิสรณ์ นิติสาขา,https://academy.l2e.io/course/CRS-0006,https://qr.l2e.io/CRS-0006,Online,61,13,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0007,CRS-0007,ACA-0002,Cybersecurity Fundamentals,cover_CRS-0007.jpg,Onsite,Soft Skill,Intermediate,1,,4404,รายละเอียดหลักสูตร Cybersecurity Fundamentals,3990,0,draft,จันทภา แก้วชลคราม,https://academy.l2e.io/course/CRS-0007,https://qr.l2e.io/CRS-0007,Online,67,2,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0008,CRS-0008,ACA-0004,SQL Mastery for Data Analysts,cover_CRS-0008.jpg,Onsite,Technical,Beginner,2,,718,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,990,4990,active,ณัฐพิชา ถนอมมนุษย์,https://academy.l2e.io/course/CRS-0008,https://qr.l2e.io/CRS-0008,Online,52,72,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0009,CRS-0009,ACA-0001,Agile Project Management,cover_CRS-0009.jpg,Online,Soft Skill,Advanced,1,MEM-COMP-202600001-1,1579,รายละเอียดหลักสูตร Agile Project Management,990,2990,draft,ทานตะวัน นุตตาร,https://academy.l2e.io/course/CRS-0009,https://qr.l2e.io/CRS-0009,Online,27,32,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0010,CRS-0010,ACA-0002,Power BI for Business Intelligence,cover_CRS-0010.jpg,Onsite,Business,Advanced,2,,3996,รายละเอียดหลักสูตร Power BI for Business Intelligence,1990,0,active,เพียงกมล ฉิมพาลี,https://academy.l2e.io/course/CRS-0010,https://qr.l2e.io/CRS-0010,Online,72,18,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0011,CRS-0011,ACA-0004,Python for Data Science,cover_CRS-0011.jpg,Online,Technical,Advanced,1,MEM-COMP-202600001-1,3216,รายละเอียดหลักสูตร Python for Data Science,1990,1499,draft,ชิดชนก ตระกูลบุญ,https://academy.l2e.io/course/CRS-0011,https://qr.l2e.io/CRS-0011,กรุงเทพมหานคร,40,7,4,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0012,CRS-0012,ACA-0004,Machine Learning Bootcamp,cover_CRS-0012.jpg,Online,Technical,Advanced,1,MEM-COMP-202600001-1,111,รายละเอียดหลักสูตร Machine Learning Bootcamp,990,2990,inactive,วรดาพร ยาปะโลหิต,https://academy.l2e.io/course/CRS-0012,https://qr.l2e.io/CRS-0012,เชียงใหม่,23,46,8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0013,CRS-0013,ACA-0003,Docker & Kubernetes Essential,cover_CRS-0013.jpg,Onsite,Business,Advanced,1,MEM-COMP-202600001-1,2542,รายละเอียดหลักสูตร Docker & Kubernetes Essential,5990,0,inactive,จินต์จุฑา นิระหานี,https://academy.l2e.io/course/CRS-0013,https://qr.l2e.io/CRS-0013,Online,37,26,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0014,CRS-0014,ACA-0003,Cloud Architecture with AWS,cover_CRS-0014.jpg,Hybrid,Business,Advanced,1,MEM-COMP-202600001-1,3566,รายละเอียดหลักสูตร Cloud Architecture with AWS,0,0,draft,พลภูมิ ถนัดอักษร,https://academy.l2e.io/course/CRS-0014,https://qr.l2e.io/CRS-0014,กรุงเทพมหานคร,28,58,2,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0015,CRS-0015,ACA-0002,React Front-End Developer,cover_CRS-0015.jpg,Online,Business,Intermediate,1,,3939,รายละเอียดหลักสูตร React Front-End Developer,1990,1499,inactive,ภานุวัตร ศรีวงค์,https://academy.l2e.io/course/CRS-0015,https://qr.l2e.io/CRS-0015,กรุงเทพมหานคร,3,64,10,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0016,CRS-0016,ACA-0003,Node.js Backend Development,cover_CRS-0016.jpg,Online,Business,Beginner,1,MEM-COMP-202600001-1,3335,รายละเอียดหลักสูตร Node.js Backend Development,1990,4990,inactive,นิติยา นาคพันธุ์,https://academy.l2e.io/course/CRS-0016,https://qr.l2e.io/CRS-0016,เชียงใหม่,39,58,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0017,CRS-0017,ACA-0001,Cybersecurity Fundamentals,cover_CRS-0017.jpg,Onsite,Technical,Beginner,1,,3312,รายละเอียดหลักสูตร Cybersecurity Fundamentals,0,0,active,ใจกลาง นฤทุกข์,https://academy.l2e.io/course/CRS-0017,https://qr.l2e.io/CRS-0017,Online,74,56,8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0018,CRS-0018,ACA-0001,SQL Mastery for Data Analysts,cover_CRS-0018.jpg,Hybrid,Technical,Intermediate,2,,3330,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,1990,4990,active,ปฐวีกานต์ ธรรมเมธา,https://academy.l2e.io/course/CRS-0018,https://qr.l2e.io/CRS-0018,เชียงใหม่,28,79,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0019,CRS-0019,ACA-0003,Agile Project Management,cover_CRS-0019.jpg,Hybrid,Technical,Advanced,1,MEM-COMP-202600001-1,3978,รายละเอียดหลักสูตร Agile Project Management,1990,0,draft,วรรณรัตน์ ฉัตรอภิเที่ยงค่ำ,https://academy.l2e.io/course/CRS-0019,https://qr.l2e.io/CRS-0019,เชียงใหม่,43,15,4,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0020,CRS-0020,ACA-0003,Power BI for Business Intelligence,cover_CRS-0020.jpg,Online,Business,Beginner,1,MEM-COMP-202600001-1,2041,รายละเอียดหลักสูตร Power BI for Business Intelligence,990,4990,inactive,ผดุงพล บินดี,https://academy.l2e.io/course/CRS-0020,https://qr.l2e.io/CRS-0020,เชียงใหม่,49,75,3,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0021,CRS-0021,ACA-0002,Python for Data Science,cover_CRS-0021.jpg,Online,Soft Skill,Advanced,2,,213,รายละเอียดหลักสูตร Python for Data Science,5990,2990,draft,เขมจิรา ธัญาโภชน์,https://academy.l2e.io/course/CRS-0021,https://qr.l2e.io/CRS-0021,กรุงเทพมหานคร,66,43,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0022,CRS-0022,ACA-0002,Machine Learning Bootcamp,cover_CRS-0022.jpg,Onsite,Technical,Intermediate,1,,2035,รายละเอียดหลักสูตร Machine Learning Bootcamp,1990,0,inactive,เกษตร ตราชู,https://academy.l2e.io/course/CRS-0022,https://qr.l2e.io/CRS-0022,Online,67,17,4,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0023,CRS-0023,ACA-0001,Docker & Kubernetes Essential,cover_CRS-0023.jpg,Online,Technical,Intermediate,1,,2577,รายละเอียดหลักสูตร Docker & Kubernetes Essential,0,4990,inactive,ทัตธน กุมารบุญ,https://academy.l2e.io/course/CRS-0023,https://qr.l2e.io/CRS-0023,กรุงเทพมหานคร,15,58,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0024,CRS-0024,ACA-0005,Cloud Architecture with AWS,cover_CRS-0024.jpg,Hybrid,Business,Advanced,1,MEM-COMP-202600001-1,3229,รายละเอียดหลักสูตร Cloud Architecture with AWS,3990,4990,active,นาย นะวะมันดร,https://academy.l2e.io/course/CRS-0024,https://qr.l2e.io/CRS-0024,เชียงใหม่,40,10,8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0025,CRS-0025,ACA-0002,React Front-End Developer,cover_CRS-0025.jpg,Online,Soft Skill,Intermediate,2,,3810,รายละเอียดหลักสูตร React Front-End Developer,990,0,inactive,ธีรวัช พานเกล้า,https://academy.l2e.io/course/CRS-0025,https://qr.l2e.io/CRS-0025,Online,65,11,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0026,CRS-0026,ACA-0003,Node.js Backend Development,cover_CRS-0026.jpg,Online,Business,Beginner,1,,3536,รายละเอียดหลักสูตร Node.js Backend Development,1990,1499,draft,ปิยะนันท์ นุ่มกัน,https://academy.l2e.io/course/CRS-0026,https://qr.l2e.io/CRS-0026,เชียงใหม่,5,41,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0027,CRS-0027,ACA-0002,Cybersecurity Fundamentals,cover_CRS-0027.jpg,Hybrid,Technical,Intermediate,2,,1353,รายละเอียดหลักสูตร Cybersecurity Fundamentals,0,4990,inactive,อัญชิษฐา ถมปัด,https://academy.l2e.io/course/CRS-0027,https://qr.l2e.io/CRS-0027,เชียงใหม่,69,70,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0028,CRS-0028,ACA-0004,SQL Mastery for Data Analysts,cover_CRS-0028.jpg,Online,Technical,Beginner,2,,305,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,0,0,draft,ฟารินี ถมังรักษสัตว์,https://academy.l2e.io/course/CRS-0028,https://qr.l2e.io/CRS-0028,เชียงใหม่,71,39,3,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0029,CRS-0029,ACA-0004,Agile Project Management,cover_CRS-0029.jpg,Online,Technical,Advanced,1,MEM-COMP-202600001-1,2621,รายละเอียดหลักสูตร Agile Project Management,0,799,draft,ชัชเวศย์ ทหารแท้,https://academy.l2e.io/course/CRS-0029,https://qr.l2e.io/CRS-0029,กรุงเทพมหานคร,22,34,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0030,CRS-0030,ACA-0004,Power BI for Business Intelligence,cover_CRS-0030.jpg,Hybrid,Soft Skill,Beginner,1,,1010,รายละเอียดหลักสูตร Power BI for Business Intelligence,0,1499,active,เนติลักษณ์ ถุงเงิน,https://academy.l2e.io/course/CRS-0030,https://qr.l2e.io/CRS-0030,กรุงเทพมหานคร,25,16,10,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0031,CRS-0031,ACA-0005,Python for Data Science,cover_CRS-0031.jpg,Hybrid,Soft Skill,Intermediate,2,,4989,รายละเอียดหลักสูตร Python for Data Science,5990,4990,active,หล้า เวียงจันทึก,https://academy.l2e.io/course/CRS-0031,https://qr.l2e.io/CRS-0031,เชียงใหม่,16,36,3,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0032,CRS-0032,ACA-0002,Machine Learning Bootcamp,cover_CRS-0032.jpg,Hybrid,Business,Beginner,2,,4624,รายละเอียดหลักสูตร Machine Learning Bootcamp,5990,4990,draft,วัลยา ดัตพันธุ์,https://academy.l2e.io/course/CRS-0032,https://qr.l2e.io/CRS-0032,Online,5,54,3,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0033,CRS-0033,ACA-0001,Docker & Kubernetes Essential,cover_CRS-0033.jpg,Hybrid,Soft Skill,Advanced,2,,2970,รายละเอียดหลักสูตร Docker & Kubernetes Essential,0,4990,inactive,จด เตมิยะเดช,https://academy.l2e.io/course/CRS-0033,https://qr.l2e.io/CRS-0033,Online,40,65,2,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0034,CRS-0034,ACA-0002,Cloud Architecture with AWS,cover_CRS-0034.jpg,Online,Business,Beginner,2,,1053,รายละเอียดหลักสูตร Cloud Architecture with AWS,0,0,draft,เพ็ญยุภา ทวนไชย์,https://academy.l2e.io/course/CRS-0034,https://qr.l2e.io/CRS-0034,Online,47,30,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0035,CRS-0035,ACA-0001,React Front-End Developer,cover_CRS-0035.jpg,Onsite,Technical,Advanced,2,,2650,รายละเอียดหลักสูตร React Front-End Developer,5990,799,draft,หฤทัย นวลฉวี,https://academy.l2e.io/course/CRS-0035,https://qr.l2e.io/CRS-0035,เชียงใหม่,64,36,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0036,CRS-0036,ACA-0001,Node.js Backend Development,cover_CRS-0036.jpg,Hybrid,Business,Beginner,2,MEM-COMP-202600001-1,3012,รายละเอียดหลักสูตร Node.js Backend Development,3990,1499,draft,มนรัตน์ แนวพญา,https://academy.l2e.io/course/CRS-0036,https://qr.l2e.io/CRS-0036,Online,23,3,10,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0037,CRS-0037,ACA-0004,Cybersecurity Fundamentals,cover_CRS-0037.jpg,Onsite,Technical,Advanced,1,MEM-COMP-202600001-1,1479,รายละเอียดหลักสูตร Cybersecurity Fundamentals,3990,799,inactive,ณาร์รีมาน ชุมวระ,https://academy.l2e.io/course/CRS-0037,https://qr.l2e.io/CRS-0037,กรุงเทพมหานคร,40,50,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0038,CRS-0038,ACA-0003,SQL Mastery for Data Analysts,cover_CRS-0038.jpg,Hybrid,Soft Skill,Intermediate,2,MEM-COMP-202600001-1,1777,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,990,1499,draft,กิติชัย นรวิทย์โชติกุล,https://academy.l2e.io/course/CRS-0038,https://qr.l2e.io/CRS-0038,เชียงใหม่,26,75,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0039,CRS-0039,ACA-0004,Agile Project Management,cover_CRS-0039.jpg,Hybrid,Business,Advanced,1,MEM-COMP-202600001-1,1880,รายละเอียดหลักสูตร Agile Project Management,5990,0,draft,พรชีวิน เจริญรัมย์,https://academy.l2e.io/course/CRS-0039,https://qr.l2e.io/CRS-0039,เชียงใหม่,28,19,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0040,CRS-0040,ACA-0003,Power BI for Business Intelligence,cover_CRS-0040.jpg,Hybrid,Technical,Intermediate,2,,2117,รายละเอียดหลักสูตร Power BI for Business Intelligence,3990,1499,active,ซูไรดา จ้อยนุแสง,https://academy.l2e.io/course/CRS-0040,https://qr.l2e.io/CRS-0040,Online,32,23,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0041,CRS-0041,ACA-0003,Python for Data Science,cover_CRS-0041.jpg,Online,Soft Skill,Advanced,2,,3208,รายละเอียดหลักสูตร Python for Data Science,5990,4990,inactive,พลภูมิ ดัตพันธุ์,https://academy.l2e.io/course/CRS-0041,https://qr.l2e.io/CRS-0041,กรุงเทพมหานคร,2,34,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0042,CRS-0042,ACA-0003,Machine Learning Bootcamp,cover_CRS-0042.jpg,Online,Business,Intermediate,2,MEM-COMP-202600001-1,4720,รายละเอียดหลักสูตร Machine Learning Bootcamp,0,4990,inactive,ฟิรยา ดำริห์ชอบ,https://academy.l2e.io/course/CRS-0042,https://qr.l2e.io/CRS-0042,กรุงเทพมหานคร,10,62,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0043,CRS-0043,ACA-0001,Docker & Kubernetes Essential,cover_CRS-0043.jpg,Hybrid,Technical,Beginner,2,,759,รายละเอียดหลักสูตร Docker & Kubernetes Essential,990,4990,inactive,รมิตา ธนประทีป,https://academy.l2e.io/course/CRS-0043,https://qr.l2e.io/CRS-0043,เชียงใหม่,41,30,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0044,CRS-0044,ACA-0003,Cloud Architecture with AWS,cover_CRS-0044.jpg,Onsite,Technical,Beginner,2,MEM-COMP-202600001-1,2446,รายละเอียดหลักสูตร Cloud Architecture with AWS,990,799,draft,สุภาพร ธรรมฤดี,https://academy.l2e.io/course/CRS-0044,https://qr.l2e.io/CRS-0044,กรุงเทพมหานคร,60,30,2,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0045,CRS-0045,ACA-0003,React Front-End Developer,cover_CRS-0045.jpg,Hybrid,Technical,Beginner,2,,3499,รายละเอียดหลักสูตร React Front-End Developer,990,2990,active,หลี ซูสารอ,https://academy.l2e.io/course/CRS-0045,https://qr.l2e.io/CRS-0045,เชียงใหม่,43,61,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0046,CRS-0046,ACA-0002,Node.js Backend Development,cover_CRS-0046.jpg,Online,Business,Beginner,2,MEM-COMP-202600001-1,3608,รายละเอียดหลักสูตร Node.js Backend Development,3990,0,active,ธีราทัต นพตระกูล,https://academy.l2e.io/course/CRS-0046,https://qr.l2e.io/CRS-0046,Online,27,38,3,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0047,CRS-0047,ACA-0002,Cybersecurity Fundamentals,cover_CRS-0047.jpg,Online,Business,Advanced,1,,4518,รายละเอียดหลักสูตร Cybersecurity Fundamentals,1990,2990,active,ทิพย์วารี ธรรมสถิตไพศาล,https://academy.l2e.io/course/CRS-0047,https://qr.l2e.io/CRS-0047,กรุงเทพมหานคร,13,80,8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0048,CRS-0048,ACA-0002,SQL Mastery for Data Analysts,cover_CRS-0048.jpg,Online,Soft Skill,Beginner,2,MEM-COMP-202600001-1,4819,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,5990,0,inactive,จิม ถนัดอาวุธ,https://academy.l2e.io/course/CRS-0048,https://qr.l2e.io/CRS-0048,Online,7,39,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0049,CRS-0049,ACA-0001,Agile Project Management,cover_CRS-0049.jpg,Hybrid,Business,Advanced,2,MEM-COMP-202600001-1,3296,รายละเอียดหลักสูตร Agile Project Management,0,4990,inactive,ขวัญรุ้ง ถนัดกลึง,https://academy.l2e.io/course/CRS-0049,https://qr.l2e.io/CRS-0049,กรุงเทพมหานคร,47,2,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0050,CRS-0050,ACA-0004,Power BI for Business Intelligence,cover_CRS-0050.jpg,Online,Business,Beginner,1,MEM-COMP-202600001-1,232,รายละเอียดหลักสูตร Power BI for Business Intelligence,990,1499,draft,สิทธิชัย พรมอ่อน,https://academy.l2e.io/course/CRS-0050,https://qr.l2e.io/CRS-0050,กรุงเทพมหานคร,69,12,1,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
